_id,Month,Country,HBT,TreatmentLocation,DepartmentType,NumberOfAttendancesAggregate,NumberOfAttendancesEpisode,NumberOfAttendancesEpisodeQF,NumberMeetingTargetAggregate,NumberMeetingTargetEpisode,NumberMeetingTargetEpisodeQF,DischargeDestinationAdmissionToSame,DischargeDestinationAdmissionToSameQF,DischargeDestinationOtherSpecialty,DischargeDestinationOtherSpecialtyQF,DischargeDestinationResidence,DischargeDestinationResidenceQF,DischargeDestinationTransfer,DischargeDestinationTransferQF,DischargeDestinationUnknown,DischargeDestinationUnknownQF,AttendanceGreater8hrs,AttendanceGreater8hrsQF,AttendanceGreater12hrs,AttendanceGreater12hrsQF
1430,200810,S92000003,S08000024,S102H,Minor Injury Unit or Other,15,,z,15,,z,,z,,z,,z,,z,,z,,z,,z
1431,200810,S92000003,S08000024,S108H,Minor Injury Unit or Other,141,,z,141,,z,,z,,z,,z,,z,,z,,z,,z
1432,200810,S92000003,S08000024,S116H,Minor Injury Unit or Other,3073,3073,"",2980,2980,"",1162,"",2,"",1869,"",40,"",0,"",1,"",0,""
1433,200810,S92000003,S08000024,S308H,Emergency Department,3973,3973,"",3909,3909,"",986,"",4,"",2867,"",116,"",0,"",10,"",1,""
1434,200810,S92000003,S08000024,S314H,Emergency Department,8780,8780,"",8510,8510,"",2466,"",16,"",6024,"",274,"",0,"",12,"",0,""
1435,200810,S92000003,S08000024,S319H,Emergency Department,2847,2847,"",2836,2836,"",522,"",0,"",2325,"",0,"",0,"",0,"",0,""
1436,200810,S92000003,S08000025,R103H,Minor Injury Unit or Other,194,,z,194,,z,,z,,z,,z,,z,,z,,z,,z
1437,200810,S92000003,S08000026,Z102H,Emergency Department,629,629,"",629,629,"",133,"",0,"",468,"",1,"",27,"",0,"",0,""
1438,200810,S92000003,S08000030,T101H,Emergency Department,3828,3828,"",3805,3805,"",931,"",14,"",2783,"",23,"",77,"",1,"",0,""
1439,200810,S92000003,S08000030,T202H,Emergency Department,1977,1977,"",1964,1964,"",397,"",5,"",1390,"",51,"",134,"",0,"",0,""
1440,200810,S92000003,S08000030,T207H,Minor Injury Unit or Other,4,,z,4,,z,,z,,z,,z,,z,,z,,z,,z
1441,200810,S92000003,S08000030,T209H,Minor Injury Unit or Other,133,133,"",133,133,"",5,"",0,"",114,"",0,"",14,"",0,"",0,""
1442,200810,S92000003,S08000030,T304H,Minor Injury Unit or Other,682,682,"",681,681,"",65,"",0,"",480,"",0,"",137,"",0,"",0,""
1443,200810,S92000003,S08000030,T305H,Minor Injury Unit or Other,122,122,"",122,122,"",1,"",0,"",106,"",1,"",14,"",0,"",0,""
1444,200810,S92000003,S08000030,T316H,Minor Injury Unit or Other,124,,z,124,,z,,z,,z,,z,,z,,z,,z,,z
1445,200810,S92000003,S08000030,T319H,Minor Injury Unit or Other,278,278,"",278,278,"",15,"",0,"",253,"",0,"",10,"",0,"",0,""
1446,200810,S92000003,S08000030,T320H,Minor Injury Unit or Other,43,43,"",43,43,"",0,"",0,"",43,"",0,"",0,"",0,"",0,""
1447,200810,S92000003,S08000030,T357C,Minor Injury Unit or Other,257,257,"",256,256,"",16,"",0,"",183,"",0,"",58,"",0,"",0,""
1448,200810,S92000003,S08000028,W106H,Minor Injury Unit or Other,8,,z,8,,z,,z,,z,,z,,z,,z,,z,,z
1449,200810,S92000003,S08000028,W107H,Emergency Department,517,517,"",506,506,"",136,"",0,"",375,"",2,"",4,"",1,"",0,""
1450,200810,S92000003,S08000028,W108H,Minor Injury Unit or Other,105,,z,105,,z,,z,,z,,z,,z,,z,,z,,z
1451,200811,S92000003,S08000015,A101H,Minor Injury Unit or Other,185,,z,185,,z,,z,,z,,z,,z,,z,,z,,z
1452,200811,S92000003,S08000015,A110H,Minor Injury Unit or Other,46,,z,46,,z,,z,,z,,z,,z,,z,,z,,z
1453,200811,S92000003,S08000015,A111H,Emergency Department,5159,5159,"",5072,5072,"",2012,"",4,"",2917,"",62,"",164,"",1,"",0,""
1454,200811,S92000003,S08000015,A207H,Minor Injury Unit or Other,65,,z,65,,z,,z,,z,,z,,z,,z,,z,,z
1455,200811,S92000003,S08000015,A210H,Emergency Department,3247,3247,"",3180,3180,"",1190,"",2,"",1926,"",70,"",59,"",1,"",0,""
1456,200811,S92000003,S08000016,B103H,Minor Injury Unit or Other,15,,z,15,,z,,z,,z,,z,,z,,z,,z,,z
1457,200811,S92000003,S08000016,B105H,Minor Injury Unit or Other,86,,z,86,,z,,z,,z,,z,,z,,z,,z,,z
1458,200811,S92000003,S08000016,B114H,Minor Injury Unit or Other,19,,z,19,,z,,z,,z,,z,,z,,z,,z,,z
1459,200811,S92000003,S08000016,B118H,Minor Injury Unit or Other,92,,z,92,,z,,z,,z,,z,,z,,z,,z,,z
1460,200811,S92000003,S08000016,B120H,Emergency Department,1797,1797,"",1763,1763,"",618,"",3,"",957,"",19,"",200,"",0,"",0,""
1461,200811,S92000003,S08000017,Y101H,Minor Injury Unit or Other,44,,z,44,,z,,z,,z,,z,,z,,z,,z,,z
1462,200811,S92000003,S08000017,Y106H,Minor Injury Unit or Other,34,,z,34,,z,,z,,z,,z,,z,,z,,z,,z
1463,200811,S92000003,S08000017,Y109H,Minor Injury Unit or Other,9,,z,9,,z,,z,,z,,z,,z,,z,,z,,z
1464,200811,S92000003,S08000017,Y110H,Minor Injury Unit or Other,45,,z,45,,z,,z,,z,,z,,z,,z,,z,,z
1465,200811,S92000003,S08000017,Y144H,Emergency Department,976,976,"",961,961,"",97,"",0,"",865,"",14,"",0,"",0,"",0,""
1466,200811,S92000003,S08000017,Y146H,Emergency Department,2802,2802,"",2723,2723,"",1024,"",2,"",1736,"",12,"",28,"",1,"",0,""
1467,200811,S92000003,S08000029,F704H,Emergency Department,3219,3219,"",3098,3098,"",478,"",5,"",2490,"",38,"",208,"",12,"",3,""
1468,200811,S92000003,S08000029,F708H,Minor Injury Unit or Other,161,,z,161,,z,,z,,z,,z,,z,,z,,z,,z
1469,200811,S92000003,S08000029,F709H,Minor Injury Unit or Other,252,,z,252,,z,,z,,z,,z,,z,,z,,z,,z
1470,200811,S92000003,S08000029,F805H,Emergency Department,2934,2934,"",2844,2844,"",511,"",6,"",2235,"",22,"",160,"",17,"",10,""
1471,200811,S92000003,S08000019,V102H,Minor Injury Unit or Other,1576,1576,"",1574,1574,"",0,"",0,"",1097,"",199,"",280,"",0,"",0,""
1472,200811,S92000003,S08000019,V201H,Emergency Department,4088,4088,"",3984,3984,"",1116,"",5,"",2351,"",36,"",580,"",3,"",0,""
1473,200811,S92000003,S08000020,N101H,Emergency Department,5116,5116,"",4850,4850,"",1293,"",23,"",3677,"",81,"",42,"",22,"",2,""
1474,200811,S92000003,S08000020,N121H,Emergency Department,1324,1324,"",1321,1321,"",385,"",0,"",939,"",0,"",0,"",0,"",0,""
1475,200811,S92000003,S08000020,N151H,Minor Injury Unit or Other,60,,z,60,,z,,z,,z,,z,,z,,z,,z,,z
1476,200811,S92000003,S08000020,N331H,Minor Injury Unit or Other,32,,z,32,,z,,z,,z,,z,,z,,z,,z,,z
1477,200811,S92000003,S08000020,N332H,Minor Injury Unit or Other,61,,z,61,,z,,z,,z,,z,,z,,z,,z,,z
1478,200811,S92000003,S08000020,N333H,Minor Injury Unit or Other,1006,,z,1004,,z,,z,,z,,z,,z,,z,,z,,z
1479,200811,S92000003,S08000020,N334H,Minor Injury Unit or Other,638,,z,632,,z,,z,,z,,z,,z,,z,,z,,z
1480,200811,S92000003,S08000020,N335H,Minor Injury Unit or Other,201,,z,201,,z,,z,,z,,z,,z,,z,,z,,z
1481,200811,S92000003,S08000020,N336H,Minor Injury Unit or Other,157,,z,157,,z,,z,,z,,z,,z,,z,,z,,z
1482,200811,S92000003,S08000020,N337H,Minor Injury Unit or Other,263,,z,263,,z,,z,,z,,z,,z,,z,,z,,z
1483,200811,S92000003,S08000020,N411H,Emergency Department,1688,1688,"",1583,1583,"",523,"",4,"",1126,"",12,"",23,"",4,"",2,""
1484,200811,S92000003,S08000020,N431H,Minor Injury Unit or Other,61,,z,61,,z,,z,,z,,z,,z,,z,,z,,z
1485,200811,S92000003,S08000020,N432H,Minor Injury Unit or Other,24,,z,24,,z,,z,,z,,z,,z,,z,,z,,z
1486,200811,S92000003,S08000020,N433H,Minor Injury Unit or Other,105,,z,105,,z,,z,,z,,z,,z,,z,,z,,z
1487,200811,S92000003,S08000020,N434H,Minor Injury Unit or Other,44,,z,44,,z,,z,,z,,z,,z,,z,,z,,z
1488,200811,S92000003,S08000020,N451H,Minor Injury Unit or Other,25,,z,25,,z,,z,,z,,z,,z,,z,,z,,z
1489,200811,S92000003,S08000020,N494H,Minor Injury Unit or Other,102,102,"",102,102,"",0,"",0,"",86,"",16,"",0,"",0,"",0,""
1490,200811,S92000003,S08000031,C206H,Minor Injury Unit or Other,1124,1124,"",1101,1101,"",300,"",0,"",2,"",85,"",737,"",2,"",0,""
1491,200811,S92000003,S08000031,C313H,Emergency Department,2493,2493,"",2450,2450,"",600,"",0,"",3,"",60,"",1830,"",0,"",0,""
1492,200811,S92000003,S08000031,C418H,Emergency Department,5584,5584,"",5428,5428,"",1715,"",0,"",81,"",68,"",3720,"",3,"",0,""
1493,200811,S92000003,S08000031,G107H,Emergency Department,6258,6258,"",6060,6060,"",1970,"",14,"",3804,"",126,"",344,"",5,"",1,""
1494,200811,S92000003,S08000031,G207H,Emergency Department,3344,3344,"",3333,3333,"",983,"",0,"",2155,"",43,"",163,"",0,"",0,""
1495,200811,S92000003,S08000031,G306H,Emergency Department,5472,5472,"",5423,5423,"",1484,"",8,"",3817,"",120,"",43,"",0,"",0,""
1496,200811,S92000003,S08000031,G405H,Emergency Department,3726,3726,"",3687,3687,"",1134,"",4,"",2509,"",34,"",45,"",2,"",0,""
1497,200811,S92000003,S08000031,G513H,Emergency Department,3970,3970,"",3913,3913,"",578,"",0,"",3382,"",1,"",9,"",3,"",2,""
1498,200811,S92000003,S08000031,G516H,Emergency Department,4939,4939,"",4684,4684,"",1645,"",8,"",2772,"",134,"",380,"",6,"",0,""
1499,200811,S92000003,S08000022,C103B,Minor Injury Unit or Other,460,,z,447,,z,,z,,z,,z,,z,,z,,z,,z
1500,200811,S92000003,S08000022,C106H,Minor Injury Unit or Other,489,,z,488,,z,,z,,z,,z,,z,,z,,z,,z
1501,200811,S92000003,S08000022,C108H,Minor Injury Unit or Other,82,,z,82,,z,,z,,z,,z,,z,,z,,z,,z
1502,200811,S92000003,S08000022,C110H,Minor Injury Unit or Other,289,,z,283,,z,,z,,z,,z,,z,,z,,z,,z
1503,200811,S92000003,S08000022,C113H,Minor Injury Unit or Other,337,,z,334,,z,,z,,z,,z,,z,,z,,z,,z
1504,200811,S92000003,S08000022,C117J,Minor Injury Unit or Other,43,,z,43,,z,,z,,z,,z,,z,,z,,z,,z
1505,200811,S92000003,S08000022,C121H,Emergency Department,421,,z,417,,z,,z,,z,,z,,z,,z,,z,,z
1506,200811,S92000003,S08000022,H101H,Minor Injury Unit or Other,191,,z,191,,z,,z,,z,,z,,z,,z,,z,,z
1507,200811,S92000003,S08000022,H103H,Emergency Department,438,,z,432,,z,,z,,z,,z,,z,,z,,z,,z
1508,200811,S92000003,S08000022,H106H,Minor Injury Unit or Other,41,,z,41,,z,,z,,z,,z,,z,,z,,z,,z
1509,200811,S92000003,S08000022,H202H,Emergency Department,2259,2259,"",2223,2223,"",519,"",15,"",1725,"",0,"",0,"",0,"",0,""
1510,200811,S92000003,S08000022,H208H,Minor Injury Unit or Other,184,,z,183,,z,,z,,z,,z,,z,,z,,z,,z
1511,200811,S92000003,S08000022,H210H,Minor Injury Unit or Other,76,,z,76,,z,,z,,z,,z,,z,,z,,z,,z
1512,200811,S92000003,S08000022,H212H,Emergency Department,611,,z,599,,z,,z,,z,,z,,z,,z,,z,,z
1513,200811,S92000003,S08000022,H214H,Minor Injury Unit or Other,282,,z,278,,z,,z,,z,,z,,z,,z,,z,,z
1514,200811,S92000003,S08000022,H215H,Minor Injury Unit or Other,207,,z,200,,z,,z,,z,,z,,z,,z,,z,,z
1515,200811,S92000003,S08000022,H217H,Minor Injury Unit or Other,174,,z,174,,z,,z,,z,,z,,z,,z,,z,,z
1516,200811,S92000003,S08000022,H219H,Minor Injury Unit or Other,88,,z,87,,z,,z,,z,,z,,z,,z,,z,,z
1517,200811,S92000003,S08000022,H227B,Minor Injury Unit or Other,111,,z,111,,z,,z,,z,,z,,z,,z,,z,,z
1518,200811,S92000003,S08000032,L106H,Emergency Department,5337,5337,"",5190,5190,"",1620,"",7,"",3680,"",18,"",12,"",2,"",0,""
1519,200811,S92000003,S08000032,L206H,Minor Injury Unit or Other,114,,z,114,,z,,z,,z,,z,,z,,z,,z,,z
1520,200811,S92000003,S08000032,L207H,Minor Injury Unit or Other,150,,z,150,,z,,z,,z,,z,,z,,z,,z,,z
1521,200811,S92000003,S08000032,L302H,Emergency Department,4720,4720,"",4511,4511,"",1113,"",9,"",3552,"",12,"",34,"",26,"",9,""
1522,200811,S92000003,S08000032,L308H,Emergency Department,5580,5580,"",5509,5509,"",1419,"",8,"",4111,"",17,"",25,"",10,"",5,""
1523,200811,S92000003,S08000024,S102H,Minor Injury Unit or Other,9,,z,9,,z,,z,,z,,z,,z,,z,,z,,z
1524,200811,S92000003,S08000024,S108H,Minor Injury Unit or Other,121,,z,121,,z,,z,,z,,z,,z,,z,,z,,z
1525,200811,S92000003,S08000024,S116H,Minor Injury Unit or Other,2895,2895,"",2819,2819,"",1028,"",3,"",1837,"",27,"",0,"",2,"",1,""
1526,200811,S92000003,S08000024,S308H,Emergency Department,3949,3949,"",3890,3890,"",913,"",4,"",2895,"",137,"",0,"",9,"",6,""
1527,200811,S92000003,S08000024,S314H,Emergency Department,8623,8623,"",8290,8290,"",2447,"",13,"",5852,"",311,"",0,"",27,"",0,""
1528,200811,S92000003,S08000024,S319H,Emergency Department,3278,3278,"",3245,3245,"",547,"",0,"",2731,"",0,"",0,"",2,"",0,""
1529,200811,S92000003,S08000025,R103H,Minor Injury Unit or Other,177,,z,177,,z,,z,,z,,z,,z,,z,,z,,z
1530,200811,S92000003,S08000026,Z102H,Emergency Department,647,647,"",641,641,"",146,"",1,"",472,"",0,"",28,"",1,"",0,""
1531,200811,S92000003,S08000030,T101H,Emergency Department,3839,3839,"",3792,3792,"",944,"",15,"",2775,"",29,"",76,"",2,"",0,""
1532,200811,S92000003,S08000030,T202H,Emergency Department,1868,1868,"",1856,1856,"",322,"",6,"",1339,"",61,"",140,"",0,"",0,""
1533,200811,S92000003,S08000030,T209H,Minor Injury Unit or Other,154,154,"",154,154,"",10,"",0,"",138,"",0,"",6,"",0,"",0,""
1534,200811,S92000003,S08000030,T304H,Minor Injury Unit or Other,671,671,"",671,671,"",24,"",0,"",420,"",0,"",227,"",0,"",0,""
1535,200811,S92000003,S08000030,T305H,Minor Injury Unit or Other,157,157,"",156,156,"",3,"",0,"",121,"",0,"",33,"",0,"",0,""
1536,200811,S92000003,S08000030,T316H,Minor Injury Unit or Other,102,102,"",102,102,"",7,"",0,"",74,"",0,"",21,"",0,"",0,""
1537,200811,S92000003,S08000030,T319H,Minor Injury Unit or Other,301,301,"",301,301,"",2,"",0,"",273,"",0,"",26,"",0,"",0,""
1538,200811,S92000003,S08000030,T320H,Minor Injury Unit or Other,41,41,"",41,41,"",4,"",0,"",37,"",0,"",0,"",0,"",0,""
1539,200811,S92000003,S08000030,T357C,Minor Injury Unit or Other,312,312,"",312,312,"",12,"",0,"",242,"",0,"",58,"",0,"",0,""
1540,200811,S92000003,S08000028,W106H,Minor Injury Unit or Other,16,,z,16,,z,,z,,z,,z,,z,,z,,z,,z
1541,200811,S92000003,S08000028,W107H,Emergency Department,487,487,"",481,481,"",138,"",0,"",344,"",0,"",5,"",0,"",0,""
1542,200811,S92000003,S08000028,W108H,Minor Injury Unit or Other,88,,z,88,,z,,z,,z,,z,,z,,z,,z,,z
1543,200812,S92000003,S08000015,A101H,Minor Injury Unit or Other,185,,z,185,,z,,z,,z,,z,,z,,z,,z,,z
1544,200812,S92000003,S08000015,A110H,Minor Injury Unit or Other,45,,z,45,,z,,z,,z,,z,,z,,z,,z,,z
1545,200812,S92000003,S08000015,A111H,Emergency Department,5441,5441,"",5233,5233,"",2280,"",8,"",2953,"",61,"",139,"",1,"",0,""
1546,200812,S92000003,S08000015,A207H,Minor Injury Unit or Other,70,,z,70,,z,,z,,z,,z,,z,,z,,z,,z
1547,200812,S92000003,S08000015,A210H,Emergency Department,3335,3335,"",3225,3225,"",1262,"",9,"",1946,"",85,"",33,"",5,"",1,""
1548,200812,S92000003,S08000016,B103H,Minor Injury Unit or Other,11,,z,11,,z,,z,,z,,z,,z,,z,,z,,z
1549,200812,S92000003,S08000016,B105H,Minor Injury Unit or Other,106,,z,106,,z,,z,,z,,z,,z,,z,,z,,z
1550,200812,S92000003,S08000016,B114H,Minor Injury Unit or Other,10,,z,10,,z,,z,,z,,z,,z,,z,,z,,z
1551,200812,S92000003,S08000016,B118H,Minor Injury Unit or Other,60,,z,60,,z,,z,,z,,z,,z,,z,,z,,z
1552,200812,S92000003,S08000016,B120H,Emergency Department,1952,1952,"",1904,1904,"",749,"",3,"",960,"",17,"",223,"",0,"",0,""
1553,200812,S92000003,S08000017,Y101H,Minor Injury Unit or Other,44,,z,44,,z,,z,,z,,z,,z,,z,,z,,z
1554,200812,S92000003,S08000017,Y106H,Minor Injury Unit or Other,34,,z,34,,z,,z,,z,,z,,z,,z,,z,,z
1555,200812,S92000003,S08000017,Y109H,Minor Injury Unit or Other,6,,z,6,,z,,z,,z,,z,,z,,z,,z,,z
1556,200812,S92000003,S08000017,Y110H,Minor Injury Unit or Other,48,,z,48,,z,,z,,z,,z,,z,,z,,z,,z
1557,200812,S92000003,S08000017,Y144H,Emergency Department,996,996,"",982,982,"",105,"",0,"",883,"",8,"",0,"",1,"",0,""
1558,200812,S92000003,S08000017,Y146H,Emergency Department,2830,2830,"",2765,2765,"",1042,"",5,"",1715,"",16,"",52,"",6,"",0,""
1559,200812,S92000003,S08000029,F704H,Emergency Department,3356,3356,"",3148,3148,"",600,"",12,"",2637,"",41,"",66,"",28,"",2,""
1560,200812,S92000003,S08000029,F708H,Minor Injury Unit or Other,103,,z,103,,z,,z,,z,,z,,z,,z,,z,,z
1561,200812,S92000003,S08000029,F709H,Minor Injury Unit or Other,232,,z,232,,z,,z,,z,,z,,z,,z,,z,,z
1562,200812,S92000003,S08000029,F805H,Emergency Department,3120,3120,"",2947,2947,"",646,"",2,"",2440,"",19,"",13,"",37,"",16,""
1563,200812,S92000003,S08000019,V102H,Minor Injury Unit or Other,1456,1456,"",1454,1454,"",0,"",0,"",1032,"",181,"",243,"",1,"",0,""
1564,200812,S92000003,S08000019,V201H,Emergency Department,4166,4166,"",3927,3927,"",1252,"",12,"",2277,"",41,"",584,"",4,"",0,""
1565,200812,S92000003,S08000020,N101H,Emergency Department,5363,5363,"",4937,4937,"",1396,"",28,"",3823,"",79,"",37,"",60,"",3,""
1566,200812,S92000003,S08000020,N121H,Emergency Department,1338,1338,"",1331,1331,"",448,"",0,"",890,"",0,"",0,"",0,"",0,""
1567,200812,S92000003,S08000020,N151H,Minor Injury Unit or Other,68,,z,68,,z,,z,,z,,z,,z,,z,,z,,z
1568,200812,S92000003,S08000020,N331H,Minor Injury Unit or Other,26,,z,26,,z,,z,,z,,z,,z,,z,,z,,z
1569,200812,S92000003,S08000020,N332H,Minor Injury Unit or Other,74,,z,74,,z,,z,,z,,z,,z,,z,,z,,z
1570,200812,S92000003,S08000020,N333H,Minor Injury Unit or Other,1123,,z,1123,,z,,z,,z,,z,,z,,z,,z,,z
1571,200812,S92000003,S08000020,N334H,Minor Injury Unit or Other,833,,z,824,,z,,z,,z,,z,,z,,z,,z,,z
1572,200812,S92000003,S08000020,N335H,Minor Injury Unit or Other,206,,z,201,,z,,z,,z,,z,,z,,z,,z,,z
1573,200812,S92000003,S08000020,N336H,Minor Injury Unit or Other,140,,z,140,,z,,z,,z,,z,,z,,z,,z,,z
1574,200812,S92000003,S08000020,N337H,Minor Injury Unit or Other,265,,z,265,,z,,z,,z,,z,,z,,z,,z,,z
1575,200812,S92000003,S08000020,N411H,Emergency Department,1766,1766,"",1626,1626,"",566,"",5,"",1147,"",22,"",26,"",16,"",2,""
1576,200812,S92000003,S08000020,N431H,Minor Injury Unit or Other,77,,z,77,,z,,z,,z,,z,,z,,z,,z,,z
1577,200812,S92000003,S08000020,N432H,Minor Injury Unit or Other,27,,z,27,,z,,z,,z,,z,,z,,z,,z,,z
1578,200812,S92000003,S08000020,N433H,Minor Injury Unit or Other,102,,z,102,,z,,z,,z,,z,,z,,z,,z,,z
1579,200812,S92000003,S08000020,N434H,Minor Injury Unit or Other,83,,z,83,,z,,z,,z,,z,,z,,z,,z,,z
1580,200812,S92000003,S08000020,N451H,Minor Injury Unit or Other,24,,z,24,,z,,z,,z,,z,,z,,z,,z,,z
1581,200812,S92000003,S08000020,N494H,Minor Injury Unit or Other,105,105,"",105,105,"",0,"",1,"",87,"",17,"",0,"",0,"",0,""
1582,200812,S92000003,S08000031,C206H,Minor Injury Unit or Other,1188,1188,"",1163,1163,"",352,"",0,"",0,"",68,"",768,"",2,"",0,""
1583,200812,S92000003,S08000031,C313H,Emergency Department,2701,2701,"",2644,2644,"",674,"",0,"",7,"",59,"",1961,"",1,"",0,""
1584,200812,S92000003,S08000031,C418H,Emergency Department,5789,5789,"",5614,5614,"",1788,"",0,"",23,"",72,"",3906,"",4,"",0,""
1585,200812,S92000003,S08000031,G107H,Emergency Department,6301,6301,"",6014,6014,"",2022,"",17,"",3813,"",121,"",328,"",3,"",0,""
1586,200812,S92000003,S08000031,G207H,Emergency Department,3322,3322,"",3302,3302,"",1043,"",1,"",2113,"",28,"",137,"",0,"",0,""
1587,200812,S92000003,S08000031,G306H,Emergency Department,5575,5575,"",5399,5399,"",1550,"",15,"",3779,"",164,"",67,"",23,"",1,""
1588,200812,S92000003,S08000031,G405H,Emergency Department,4246,4246,"",4138,4138,"",1315,"",8,"",2806,"",57,"",60,"",4,"",0,""
1589,200812,S92000003,S08000031,G513H,Emergency Department,3948,3948,"",3912,3912,"",557,"",1,"",3380,"",2,"",8,"",1,"",1,""
1590,200812,S92000003,S08000031,G516H,Emergency Department,5185,5185,"",4887,4887,"",1773,"",12,"",2883,"",131,"",386,"",14,"",0,""
1591,200812,S92000003,S08000022,C103B,Minor Injury Unit or Other,476,,z,469,,z,,z,,z,,z,,z,,z,,z,,z
1592,200812,S92000003,S08000022,C106H,Minor Injury Unit or Other,583,,z,579,,z,,z,,z,,z,,z,,z,,z,,z
1593,200812,S92000003,S08000022,C108H,Minor Injury Unit or Other,59,,z,59,,z,,z,,z,,z,,z,,z,,z,,z
1594,200812,S92000003,S08000022,C110H,Minor Injury Unit or Other,291,,z,287,,z,,z,,z,,z,,z,,z,,z,,z
1595,200812,S92000003,S08000022,C113H,Minor Injury Unit or Other,388,,z,381,,z,,z,,z,,z,,z,,z,,z,,z
1596,200812,S92000003,S08000022,C117J,Minor Injury Unit or Other,39,,z,38,,z,,z,,z,,z,,z,,z,,z,,z
1597,200812,S92000003,S08000022,C121H,Emergency Department,420,,z,417,,z,,z,,z,,z,,z,,z,,z,,z
1598,200812,S92000003,S08000022,H101H,Minor Injury Unit or Other,216,,z,216,,z,,z,,z,,z,,z,,z,,z,,z
1599,200812,S92000003,S08000022,H103H,Emergency Department,504,,z,496,,z,,z,,z,,z,,z,,z,,z,,z
1600,200812,S92000003,S08000022,H106H,Minor Injury Unit or Other,37,,z,37,,z,,z,,z,,z,,z,,z,,z,,z
1601,200812,S92000003,S08000022,H202H,Emergency Department,2296,2296,"",2253,2253,"",564,"",25,"",1703,"",4,"",0,"",2,"",0,""
1602,200812,S92000003,S08000022,H208H,Minor Injury Unit or Other,202,,z,202,,z,,z,,z,,z,,z,,z,,z,,z
1603,200812,S92000003,S08000022,H210H,Minor Injury Unit or Other,71,,z,70,,z,,z,,z,,z,,z,,z,,z,,z
1604,200812,S92000003,S08000022,H212H,Emergency Department,601,,z,589,,z,,z,,z,,z,,z,,z,,z,,z
1605,200812,S92000003,S08000022,H214H,Minor Injury Unit or Other,286,,z,276,,z,,z,,z,,z,,z,,z,,z,,z
1606,200812,S92000003,S08000022,H215H,Minor Injury Unit or Other,276,,z,263,,z,,z,,z,,z,,z,,z,,z,,z
1607,200812,S92000003,S08000022,H217H,Minor Injury Unit or Other,157,,z,157,,z,,z,,z,,z,,z,,z,,z,,z
1608,200812,S92000003,S08000022,H219H,Minor Injury Unit or Other,104,,z,103,,z,,z,,z,,z,,z,,z,,z,,z
1609,200812,S92000003,S08000022,H227B,Minor Injury Unit or Other,114,,z,114,,z,,z,,z,,z,,z,,z,,z,,z
1610,200812,S92000003,S08000032,L106H,Emergency Department,4991,4991,"",4868,4868,"",1675,"",10,"",3264,"",21,"",21,"",6,"",1,""
1611,200812,S92000003,S08000032,L206H,Minor Injury Unit or Other,123,,z,123,,z,,z,,z,,z,,z,,z,,z,,z
1612,200812,S92000003,S08000032,L207H,Minor Injury Unit or Other,155,,z,155,,z,,z,,z,,z,,z,,z,,z,,z
1613,200812,S92000003,S08000032,L302H,Emergency Department,4561,4561,"",4329,4329,"",1271,"",7,"",3252,"",6,"",25,"",24,"",0,""
1614,200812,S92000003,S08000032,L308H,Emergency Department,5328,5328,"",5214,5214,"",1383,"",4,"",3899,"",16,"",26,"",12,"",1,""
1615,200812,S92000003,S08000024,S102H,Minor Injury Unit or Other,19,,z,19,,z,,z,,z,,z,,z,,z,,z,,z
1616,200812,S92000003,S08000024,S116H,Minor Injury Unit or Other,2864,2864,"",2751,2751,"",1109,"",0,"",1727,"",28,"",0,"",1,"",0,""
1617,200812,S92000003,S08000024,S308H,Emergency Department,4101,4101,"",4000,4000,"",1042,"",8,"",2861,"",190,"",0,"",9,"",2,""
1618,200812,S92000003,S08000024,S314H,Emergency Department,8920,8920,"",8399,8399,"",2681,"",27,"",5774,"",438,"",0,"",79,"",9,""
1619,200812,S92000003,S08000024,S319H,Emergency Department,3133,3133,"",3086,3086,"",530,"",2,"",2601,"",0,"",0,"",0,"",0,""
1620,200812,S92000003,S08000025,R103H,Minor Injury Unit or Other,251,,z,250,,z,,z,,z,,z,,z,,z,,z,,z
1621,200812,S92000003,S08000026,Z102H,Emergency Department,781,781,"",776,776,"",150,"",1,"",588,"",1,"",41,"",0,"",0,""
1622,200812,S92000003,S08000030,T101H,Emergency Department,3969,3969,"",3893,3893,"",1088,"",12,"",2728,"",34,"",107,"",0,"",0,""
1623,200812,S92000003,S08000030,T202H,Emergency Department,2014,2014,"",1981,1981,"",400,"",5,"",1354,"",42,"",213,"",0,"",0,""
1624,200812,S92000003,S08000030,T209H,Minor Injury Unit or Other,169,169,"",169,169,"",16,"",0,"",0,"",0,"",153,"",0,"",0,""
1625,200812,S92000003,S08000030,T304H,Minor Injury Unit or Other,746,746,"",745,745,"",20,"",0,"",505,"",0,"",221,"",0,"",0,""
1626,200812,S92000003,S08000030,T305H,Minor Injury Unit or Other,137,137,"",137,137,"",1,"",0,"",107,"",0,"",29,"",0,"",0,""
1627,200812,S92000003,S08000030,T316H,Minor Injury Unit or Other,159,159,"",159,159,"",16,"",0,"",121,"",0,"",22,"",0,"",0,""
1628,200812,S92000003,S08000030,T319H,Minor Injury Unit or Other,359,359,"",359,359,"",9,"",0,"",325,"",0,"",25,"",0,"",0,""
1629,200812,S92000003,S08000030,T320H,Minor Injury Unit or Other,50,50,"",50,50,"",5,"",0,"",42,"",0,"",3,"",0,"",0,""
